ego,self
alter,other
verto,turn
intro,inward
extro,outward
ambi-,both directions
dexter(latin),right hand
sinister(latin),left hand
gauche(french),left hand
driot(french),right hand
misein,to hate
anthropos,mankind
gyne,women
gamos,marriage
mono,one
poly,many
andros,man
internus,inside
logos,science
obstetrix,midwife
paidos,child
iateria,medical healing
agogos,leading
demos,people
derma,skin
hypos,under
ophtalmos(greek),eyes
oculus(latin),eyes
orthos,staright/correct
odontos,tooth
kardia,heart
neuron,nerves
-osis,abnormal
psyche,"spirit, mind, soul"﻿pathos,suffering/disease
soma,body
genesis,birth/origin
peri-,surrounding
endon,"inner, within"
ex-,out
opsis,view
optikos,vision
metron,measurement
therme,heat
baros,weight
sphygmos,pulse
osteon,bone
pous/podos,foot
okto,eight
platys,flat
-ium,place where…
tri-,three
cheir(chiro-),hand
-mancy,foretelling/prediction
astron,star
nomos,arrangement/law/order
nautes,sailor
kosmos,universe
naus,ship
dis-,against
autos,self
ge(geo-),earth
graphein,to write
ergon,work
bios,life
botane,plant
zoion,animal
scorpio,scorpion
leo,lion
cancer,crab
taurus,bull
aries,ram
pisces,fish
en-,"inner, within"
tome,cutting
ec-(ek-),out
kentron,center
a-,negative
ana-,up
dicha-,in two
lingua,tongue
sophos,wise
adelphos,brother
philein,to love
harmonia,harmony
biblion,book
anglus,english
socius,companion
anti-,against﻿notus,known
summus,highest
corrigo,to correct
vetus,old
con-,with/together
senex,old
chronos,time
con-(verb),agree
syn-,together
pathos,feeling
tele-,distance
