pathos,suffering/disease
soma,body
genesis,birth/origin
peri-,surrounding
endon,"inner, within"
ex-,out
opsis,view
optikos,vision
metron,measurement
therme,heat
baros,weight
sphygmos,pulse
osteon,bone
pous/podos,foot
okto,eight
platys,flat
-ium,place where…
tri-,three
cheir(chiro-),hand
-mancy,foretelling/prediction
astron,star
nomos,arrangement/law/order
nautes,sailor
kosmos,universe
naus,ship
dis-,against
autos,self
ge(geo-),earth
graphein,to write
ergon,work
bios,life
botane,plant
zoion,animal
scorpio,scorpion
leo,lion
cancer,crab
taurus,bull
aries,ram
pisces,fish
en-,"inner, within"
tome,cutting
ec-(ek-),out
kentron,center
a-,negative
ana-,up
dicha-,in two
lingua,tongue
sophos,wise
adelphos,brother
philein,to love
harmonia,harmony
biblion,book
anglus,english
socius,companion
anti-,against
